certificate,runtime,genre,imdb_rating,meta_score,no_of_votes,gross,director_category,star1_category,star2_category,star3_category,star4_category,decade
all public,126,Drama,8.0,74.0,77554,2086345.0,average,low,low,low,low,2010's
family,144,Drama,8.0,69.0,176151,61649911.0,high,high,low,low,low,2000's
all public,186,Comedy,8.0,54.0,63460,1787378.0,low,low,low,low,low,2000's
family,101,Action/Adventure,8.0,75.0,117857,169659.0,low,low,low,average,low,2000's
family,143,Action/Adventure,8.0,63.0,1015122,305413918.0,low,high,average,average,low,2000's
all public,125,Action/Adventure,8.0,58.0,415218,66257002.0,average,average,low,low,low,2000's
all public,115,Other,8.0,90.0,657047,261441092.0,high,average,low,low,low,2000's
over 18,178,Thriller/Crime/Mystery,8.0,60.0,137963,1530386.0,average,average,low,low,low,2000's
over 18,113,Drama,8.0,88.0,740086,1480006.0,low,high,low,low,low,2000's
over 18,188,Drama,8.0,77.0,289742,22455976.0,average,high,low,low,average,1990's
all public,140,Thriller/Crime/Mystery,8.0,61.0,102285,4184036.0,average,low,low,average,low,2000's
all public,112,Drama,8.0,86.0,82002,6203044.0,high,low,low,low,low,1990's
over 18,105,Drama,8.0,82.0,78341,1647780.0,average,average,low,low,average,1990's
over 18,110,Drama,8.0,80.0,36419,5595428.0,average,low,low,low,low,1990's
family,86,Other,8.0,85.0,172083,23159305.0,high,low,low,low,average,1990's
over 18,135,Drama,8.0,84.0,86838,24475416.0,low,low,low,low,low,1990's
all public,136,Comedy,8.0,91.0,37564,13417292.0,low,low,low,low,low,1990's
all public,129,Thriller/Crime/Mystery,8.0,74.0,578443,57141459.0,high,high,average,average,low,1990's
family,83,Other,8.0,76.0,129231,515905.0,low,low,low,low,low,1990's
all public,76,Other,8.0,82.0,300208,75082668.0,average,low,low,low,low,1990's
all public,101,Comedy,8.0,72.0,577991,70906973.0,low,average,low,low,low,1990's
over 18,180,Thriller/Crime/Mystery,8.0,47.0,28825,4496583.0,average,low,low,low,low,1990's
family,156,Drama,8.0,59.0,263918,63895607.0,low,high,low,low,low,1990's
all public,90,Other,8.0,86.0,373845,217350219.0,average,average,low,low,low,1990's
family,189,Drama,8.0,72.0,142110,70405498.0,average,average,average,average,low,1990's
all public,84,Other,8.0,95.0,417178,218967620.0,low,low,low,low,low,1990's
all public,181,Action/Adventure,8.0,72.0,240266,184208848.0,low,average,low,low,low,1990's
over 18,120,Comedy,8.0,93.0,89429,27545445.0,high,low,low,low,low,1980's
all public,133,Drama,8.0,65.0,473064,178800000.0,average,high,low,low,low,1980's
all public,98,Action/Adventure,8.0,77.0,393899,30857814.0,high,average,low,low,low,1980's
all public,128,Drama,8.0,79.0,64722,3333969.0,average,average,low,low,low,1980's
all public,104,Drama,8.0,88.0,31163,4542825.0,low,low,low,low,low,1980's
family,107,Action/Adventure,8.0,84.0,799795,38400000.0,high,average,average,low,low,1980's
all public,191,Drama,8.0,79.0,217664,52767889.0,low,low,low,low,low,1980's
family,130,Comedy,8.0,83.0,65625,30177511.0,low,average,average,average,low,1970's
all public,93,Comedy,8.0,92.0,251823,39200000.0,high,average,average,low,low,1970's
all public,124,Action/Adventure,8.0,87.0,543388,260000000.0,high,average,low,low,low,1970's
all public,125,Drama,8.0,86.0,235652,50000000.0,high,high,average,low,low,1970's
all public,106,Comedy,8.0,80.0,143359,86300000.0,average,average,low,low,low,1970's
over 18,151,Drama,8.0,58.0,121627,53267000.0,average,average,low,low,low,1970's
all public,122,Thriller/Crime/Mystery,8.0,81.0,362393,232906145.0,average,average,low,low,low,1970's
over 18,118,Drama,8.0,93.0,42456,29133000.0,average,low,average,average,low,1970's
all public,181,Drama,8.0,67.0,39491,80500000.0,average,low,low,low,low,1970's
family,113,Drama,8.0,100.0,27067,541940.0,average,average,low,low,low,1970's
family,110,Drama,8.0,66.0,201888,102308889.0,average,high,average,average,low,1960's
all public,112,Action/Adventure,8.0,79.0,165167,33395426.0,average,average,low,average,low,1960's
all public,106,Comedy,8.0,83.0,253676,104945305.0,low,high,low,average,low,1960's
all public,172,Drama,8.0,63.0,205425,163214286.0,low,average,low,low,low,1960's
all public,197,Drama,8.0,69.0,69903,111722000.0,average,low,low,low,average,1960's
all public,99,Action/Adventure,8.0,65.0,198219,14500000.0,high,high,low,low,low,1960's
all public,134,Drama,8.0,90.0,75067,8284000.0,low,high,low,low,low,1960's
all public,174,Comedy,8.0,95.0,66621,19516000.0,low,low,low,low,low,1960's
family,141,Action/Adventure,8.0,93.0,56305,12535000.0,low,low,low,low,low,1950's
family,95,Thriller/Crime/Mystery,8.0,99.0,98431,2237659.0,average,average,low,low,low,1950's
all public,108,Drama,8.0,84.0,45062,17570324.0,low,low,low,low,low,1950's
all public,122,Drama,8.0,97.0,99182,8000000.0,average,low,average,average,low,1950's
all public,170,Drama,8.0,93.0,57259,23650000.0,average,low,low,low,low,1940's
family,129,Drama,8.0,96.0,85559,55000.0,low,average,low,low,low,1940's
all public,102,Action/Adventure,8.0,92.0,371379,2076020.0,average,average,low,low,low,1930's
all public,152,Drama,8.0,91.0,57318,3270000.0,low,low,low,low,low,1930's
family,130,Comedy,7.9,82.0,454203,165359751.0,low,high,high,average,low,2010's
all public,121,Thriller/Crime/Mystery,7.9,93.0,62754,3313513.0,low,low,low,low,low,2010's
all public,137,Comedy,7.9,94.0,246644,2000000.0,low,low,average,low,low,2010's
family,132,Drama,7.9,93.0,212651,18095701.0,low,low,low,low,low,2010's
family,100,Drama,7.9,78.0,53818,258168.0,low,average,low,low,low,2010's
all public,101,Other,7.9,82.0,139114,32015231.0,high,low,low,average,low,2010's
family,101,Action/Adventure,7.9,81.0,111483,5202582.0,average,average,low,low,low,2010's
over 18,118,Comedy,7.9,72.0,189400,5875006.0,low,average,average,low,low,2010's
family,106,Comedy,7.9,79.0,85109,3237118.0,average,low,low,low,low,2010's
family,130,Action/Adventure,7.9,74.0,587775,315058289.0,average,low,low,low,average,2010's
all public,117,Thriller/Crime/Mystery,7.9,76.0,466134,32381218.0,low,high,low,average,low,2010's
family,108,Comedy,7.9,58.0,297918,349555.0,average,low,low,high,low,2010's
family,116,Drama,7.9,81.0,594181,100546139.0,high,low,average,low,low,2010's
all public,138,Action/Adventure,7.9,80.0,860823,936662225.0,average,low,low,average,average,2010's
over 18,109,Drama,7.9,94.0,141457,8114627.0,high,high,high,low,low,2010's
family,132,Action/Adventure,7.9,75.0,659763,233921534.0,average,low,high,low,low,2010's
all public,100,Comedy,7.9,89.0,230624,44671682.0,low,low,low,high,low,2010's
family,113,Action/Adventure,7.9,71.0,600004,100206256.0,average,high,low,average,low,2010's
family,127,Drama,7.9,94.0,93090,6739492.0,average,average,low,low,low,2010's
over 18,209,Drama,7.9,94.0,324720,7000000.0,high,high,average,high,low,2010's
all public,155,Thriller/Crime/Mystery,7.9,90.0,93560,2084637.0,low,low,low,low,low,2000's
over 18,97,Drama,7.9,67.0,335152,5009677.0,low,low,low,low,low,2000's
